epoch,accuracy,loss,val_accuracy,val_loss
0,0.5791666507720947,1.034172773361206,0.6416666507720947,0.8321071863174438
1,0.7354166507720947,0.689123272895813,0.7583333253860474,0.7482721209526062
2,0.875,0.3935876786708832,0.7833333611488342,0.5807074308395386
3,0.90625,0.27716779708862305,0.824999988079071,0.5764178037643433
4,0.918749988079071,0.24200640618801117,0.8416666388511658,0.524649441242218
5,0.949999988079071,0.22124844789505005,0.8416666388511658,0.49305060505867004
6,0.9583333134651184,0.16597366333007812,0.8333333134651184,0.5540916919708252
7,0.9645833373069763,0.188137948513031,0.75,0.6102327108383179
8,0.9604166746139526,0.18501973152160645,0.8333333134651184,0.5931757688522339
9,0.9729166626930237,0.13751298189163208,0.6833333373069763,0.8554295301437378
10,0.9416666626930237,0.20435214042663574,0.8166666626930237,1.1196486949920654
11,0.9833333492279053,0.16814684867858887,0.7916666865348816,0.6248573064804077
12,0.9833333492279053,0.11561215668916702,0.824999988079071,0.529742956161499
13,0.9770833253860474,0.10429966449737549,0.8333333134651184,0.5998602509498596
14,0.9791666865348816,0.09600836783647537,0.8666666746139526,0.5551573038101196
15,0.981249988079071,0.12299084663391113,0.6916666626930237,0.7788417935371399
16,0.9750000238418579,0.09865567833185196,0.5,1.2391043901443481
17,0.9520833492279053,0.2241816222667694,0.8333333134651184,0.6883364319801331
18,0.9833333492279053,0.08555936813354492,0.8416666388511658,0.5709390640258789
19,0.9854166507720947,0.07225289195775986,0.8083333373069763,0.5911303758621216
